Timestamp,NPK Level,Temperature (°C),Humidity (%),Ph Value,Diseased
27-11-2023 10:00,2,22,45,67,1
27-11-2023 10:01,1,23,47,56,0
27-11-2023 10:02,3,22,50,67,0
27-11-2023 10:03,2,21,48,68,0
27-11-2023 10:04,1,22,46,55,0
27-11-2023 10:05,3,23,49,44,0
27-11-2023 10:06,2,24,45,67,1
27-11-2023 10:07,1,21,47,87,0
27-11-2023 10:08,3,22,50,97,0
27-11-2023 10:09,2,23,48,67,0
27-11-2023 10:10,3,28,41,74,1
27-11-2023 10:11,1,41,54,82,0
27-11-2023 10:12,2,24,46,70,1
27-11-2023 10:13,2,22,46,69,0
27-11-2023 10:14,3,36,58,74,0
27-11-2023 10:15,1,23,53,76,1
27-11-2023 10:16,2,47,49,58,1
27-11-2023 10:17,1,26,55,81,1
27-11-2023 10:18,2,33,52,80,1
27-11-2023 10:19,2,25,54,78,1
27-11-2023 10:20,3,42,41,82,0
27-11-2023 10:21,3,35,50,55,1
27-11-2023 10:22,1,34,64,68,1
27-11-2023 10:23,3,42,42,58,1
27-11-2023 10:24,2,21,45,81,1
27-11-2023 10:25,2,41,51,72,1
27-11-2023 10:26,1,26,43,74,0
27-11-2023 10:27,3,26,43,77,1
27-11-2023 10:28,3,26,61,66,0
27-11-2023 10:29,3,19,62,75,0
27-11-2023 10:30,2,42,45,86,0
27-11-2023 10:31,2,35,46,78,1
27-11-2023 10:32,2,25,65,54,0
27-11-2023 10:33,2,43,61,62,0
27-11-2023 10:34,3,45,39,84,0
27-11-2023 10:35,3,39,66,81,0
27-11-2023 10:36,1,36,67,71,0
27-11-2023 10:37,3,39,40,60,0
27-11-2023 10:38,2,28,53,83,0
27-11-2023 10:39,3,45,62,58,0
27-11-2023 10:40,3,25,55,71,1
27-11-2023 10:41,1,45,53,85,1
27-11-2023 10:42,2,42,67,72,1
27-11-2023 10:43,1,46,42,70,1
27-11-2023 10:44,1,27,41,82,1
27-11-2023 10:45,1,30,65,68,1
27-11-2023 10:46,2,22,52,81,1
27-11-2023 10:47,2,45,54,67,1
27-11-2023 10:48,1,23,66,84,1
27-11-2023 10:49,2,35,42,65,1
27-11-2023 10:50,1,28,38,58,1
27-11-2023 10:51,3,38,39,62,1
27-11-2023 10:52,1,23,48,81,0
27-11-2023 10:53,1,35,62,82,0
27-11-2023 10:54,2,37,63,71,1
27-11-2023 10:55,1,36,60,67,1
27-11-2023 10:56,3,26,64,84,0
27-11-2023 10:57,1,44,64,65,1
27-11-2023 10:58,1,34,55,55,1
27-11-2023 10:59,2,44,40,78,0
27-11-2023 11:00,2,47,54,74,1
27-11-2023 11:01,1,38,62,68,1
27-11-2023 11:02,1,39,38,59,0
27-11-2023 11:03,3,38,53,84,0
27-11-2023 11:04,1,27,70,70,0
27-11-2023 11:05,3,22,61,69,1
27-11-2023 11:06,3,30,54,77,1
27-11-2023 11:07,3,23,55,76,0
27-11-2023 11:08,2,47,43,77,0
27-11-2023 11:09,2,37,50,58,1
27-11-2023 11:10,2,39,38,83,1
27-11-2023 11:11,3,46,52,66,0
27-11-2023 11:12,2,46,69,73,1
27-11-2023 11:13,3,34,64,59,1
27-11-2023 11:14,2,42,58,58,1
27-11-2023 11:15,2,27,44,60,1
27-11-2023 11:16,3,25,49,77,1
27-11-2023 11:17,2,31,70,74,1
27-11-2023 11:18,3,27,64,58,0
27-11-2023 11:19,2,29,38,70,0
27-11-2023 11:20,1,41,55,84,1
27-11-2023 11:21,1,36,60,81,0
27-11-2023 11:22,1,32,49,70,1
27-11-2023 11:23,1,31,54,87,1
27-11-2023 11:24,2,46,45,86,1
27-11-2023 11:25,2,31,54,78,0
27-11-2023 11:26,3,49,59,77,1
27-11-2023 11:27,2,42,57,72,0
27-11-2023 11:28,3,30,62,59,0
27-11-2023 11:29,2,31,46,65,0
27-11-2023 11:30,3,40,66,75,1
27-11-2023 11:31,1,39,51,79,0
27-11-2023 11:32,2,29,52,85,0
27-11-2023 11:33,2,33,53,71,1
27-11-2023 11:34,1,45,59,56,1
27-11-2023 11:35,2,32,39,72,1
27-11-2023 11:36,2,32,47,60,0
27-11-2023 11:37,1,48,56,79,1
27-11-2023 11:38,3,33,44,79,1
27-11-2023 11:39,1,39,65,57,1
27-11-2023 11:40,1,21,63,54,1
27-11-2023 11:41,2,29,44,68,1
27-11-2023 11:42,1,28,46,63,0
27-11-2023 11:43,3,35,67,57,1
27-11-2023 11:44,1,20,68,55,0
27-11-2023 11:45,1,34,59,59,0
27-11-2023 11:46,2,43,60,83,0
27-11-2023 11:47,2,28,52,54,0
27-11-2023 11:48,1,28,61,57,0
27-11-2023 11:49,2,19,47,71,0
27-11-2023 11:50,3,45,49,58,0
27-11-2023 11:51,3,37,66,77,1
27-11-2023 11:52,1,33,38,67,0
27-11-2023 11:53,1,24,69,78,0
27-11-2023 11:54,3,40,60,62,1
27-11-2023 11:55,2,23,66,82,0
27-11-2023 11:56,1,43,63,63,0
27-11-2023 11:57,2,31,49,54,1
27-11-2023 11:58,3,29,50,60,1
27-11-2023 11:59,1,40,43,56,0
27-11-2023 12:00,3,44,60,83,0
27-11-2023 12:01,2,30,38,81,1
27-11-2023 12:02,3,31,63,57,0
27-11-2023 12:03,2,32,38,87,1
27-11-2023 12:04,2,25,64,68,1
27-11-2023 12:05,3,44,57,78,0
27-11-2023 12:06,2,41,59,70,0
27-11-2023 12:07,1,39,56,87,0
27-11-2023 12:08,1,35,41,58,0
27-11-2023 12:09,3,47,68,66,0
27-11-2023 12:10,1,29,68,80,1
27-11-2023 12:11,3,45,43,80,1
27-11-2023 12:12,3,23,64,70,1
27-11-2023 12:13,1,24,39,60,1
27-11-2023 12:14,1,36,56,68,1
27-11-2023 12:15,3,29,60,59,1
27-11-2023 12:16,2,41,42,63,0
27-11-2023 12:17,3,20,51,78,1
27-11-2023 12:18,2,30,55,76,0
27-11-2023 12:19,3,26,56,53,0
27-11-2023 12:20,3,47,70,75,0
27-11-2023 12:21,1,38,44,74,1
27-11-2023 12:22,2,49,60,83,0
27-11-2023 12:23,2,19,53,66,1
27-11-2023 12:24,2,36,38,70,0
27-11-2023 12:25,3,24,52,79,0
27-11-2023 12:26,2,23,47,76,0
27-11-2023 12:27,1,19,39,86,1
27-11-2023 12:28,2,33,69,79,0
27-11-2023 12:29,2,25,65,80,1
27-11-2023 12:30,3,30,38,59,1
27-11-2023 12:31,1,49,42,56,0
27-11-2023 12:32,1,48,46,68,0
27-11-2023 12:33,1,28,59,81,0
27-11-2023 12:34,2,46,45,73,1
27-11-2023 12:35,1,40,45,79,1
27-11-2023 12:36,2,38,62,73,1
27-11-2023 12:37,3,39,57,83,1
27-11-2023 12:38,2,42,39,80,0
27-11-2023 12:39,1,26,46,64,1
27-11-2023 12:40,1,36,45,54,0
27-11-2023 12:41,1,42,52,82,0
27-11-2023 12:42,1,23,52,72,0
27-11-2023 12:43,1,41,62,59,0
27-11-2023 12:44,1,33,47,85,1
27-11-2023 12:45,3,23,61,77,0
27-11-2023 12:46,2,45,62,79,0
